doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86745171	0620	2	5	41224	289/2/20	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Сіренко Н. С."	http://od.reyestr.court.gov.ua/files/43/6999479cd7145c306f39676b89a920ba.rtf	1	"2020-01-03 00:00:00+02"
86743527	1370	5	4	40106	1.380.2019.007145	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Крутько Олена Василівна"	http://od.reyestr.court.gov.ua/files/43/327f445cd77d4158e41827dfaeb3c14f.rtf	1	"2020-01-03 00:00:00+02"
86746344	1018	3	1	40373	372/2992/19	"2019-12-21 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кравченко М. В."	http://od.reyestr.court.gov.ua/files/43/68ee09d95ae6615a4173656549bb1510.rtf	1	"2020-01-03 00:00:00+02"
86744039	2270	5	4	40117	560/4333/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Матущак В.В."	http://od.reyestr.court.gov.ua/files/43/0483975478e824a140ccf632e2b78da3.rtf	1	"2020-01-03 00:00:00+02"
86743339	0870	5	4	40106	280/6555/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кисіль Роман Валерійович"	http://od.reyestr.court.gov.ua/files/43/641b2e9e5d6d30ee7ba1ff56ef998aee.rtf	1	"2020-01-03 00:00:00+02"
86743340	0870	5	4	40106	280/6506/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Сацький Роман Вікторович"	http://od.reyestr.court.gov.ua/files/43/8a57f0462f1d38d94a41b2701f85e07f.rtf	1	"2020-01-03 00:00:00+02"
86743479	1270	5	4	40050	360/5475/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"С.В. Борзаниця"	http://od.reyestr.court.gov.ua/files/43/a134661928633a15a37e6537b21fa504.rtf	1	"2020-01-03 00:00:00+02"
86743341	0870	5	4	40110	280/6593/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кисіль Роман Валерійович"	http://od.reyestr.court.gov.ua/files/43/ccfe1630315117c7e147b36928aadd28.rtf	1	"2020-01-03 00:00:00+02"
86743477	1270	5	4	40050	360/5029/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"К.О. Пляшкова"	http://od.reyestr.court.gov.ua/files/43/d8cf5b9176b6555271067b805d13a04c.rtf	1	"2020-01-03 00:00:00+02"
86746094	1015	5	1	41462	369/15189/19	"2019-11-22 00:00:00+02"	"2020-01-02 00:00:00+02"	"Ковальчук Л. М."	http://od.reyestr.court.gov.ua/files/43/0e156d6f5589e41c96de0551ff3cea09.rtf	1	"2020-01-03 00:00:00+02"
